dataset,space_dim,method,p_diff,bidirectional,heal_eigenvectors,vector_accuracy,selection_accuracy,gt_data_mse
mnist,10,label_based,0.0,False,False,0.8,0.9,0.06917847692966461
mnist,10,label_based,0.0,False,True,0.79,0.9620253164556962,0.009040293283760548
mnist,10,label_based,0.0,True,False,0.8,0.9875,0.043555550277233124
mnist,10,label_based,0.0,True,True,0.79,1.0,0.008563920855522156
mnist,10,label_based,0.01,False,False,0.82,0.926829268292683,0.05280378460884094
mnist,10,label_based,0.01,False,True,0.82,0.9512195121951219,0.027748197317123413
mnist,10,label_based,0.01,True,False,0.82,1.0,0.022614965215325356
mnist,10,label_based,0.01,True,True,0.82,1.0,0.011175998486578465
mnist,10,label_based,0.05,False,False,0.72,0.8055555555555556,0.6531822085380554
mnist,10,label_based,0.05,False,True,0.74,0.7972972972972973,0.6258164644241333
mnist,10,label_based,0.05,True,False,0.72,0.5138888888888888,0.8138074278831482
mnist,10,label_based,0.05,True,True,0.74,0.5135135135135135,0.8138074278831482
mnist,10,label_based,0.1,False,False,0.56,0.8392857142857143,0.6857804656028748
mnist,10,label_based,0.1,False,True,0.57,0.8421052631578947,0.6841264963150024
mnist,10,label_based,0.1,True,False,0.56,0.5,0.8138665556907654
mnist,10,label_based,0.1,True,True,0.57,0.5087719298245614,0.8138665556907654
mnist,10,label_based,0.2,False,False,0.41,0.7804878048780488,0.7755963802337646
mnist,10,label_based,0.2,False,True,0.41,0.7560975609756098,0.7790695428848267
mnist,10,label_based,0.2,True,False,0.41,0.4878048780487805,0.8134435415267944
mnist,10,label_based,0.2,True,True,0.41,0.4878048780487805,0.8134435415267944
mnist,28,label_based,0.0,False,False,0.3647959183673469,0.6398601398601399,1.1197819709777832
mnist,28,label_based,0.0,False,True,0.4030612244897959,0.7531645569620253,0.29781249165534973
mnist,28,label_based,0.0,True,False,0.3647959183673469,0.5034965034965035,1.1511223316192627
mnist,28,label_based,0.0,True,True,0.4030612244897959,0.9620253164556962,0.10440339148044586
mnist,28,label_based,0.01,False,False,0.3673469387755102,0.6493055555555556,1.1111780405044556
mnist,28,label_based,0.01,False,True,0.40816326530612246,0.721875,0.3286459743976593
mnist,28,label_based,0.01,True,False,0.3673469387755102,0.5104166666666666,1.1509140729904175
mnist,28,label_based,0.01,True,True,0.40816326530612246,0.965625,0.11078913509845734
mnist,28,label_based,0.05,False,False,0.2576530612244898,0.6386138613861386,1.1188380718231201
mnist,28,label_based,0.05,False,True,0.30612244897959184,0.6791666666666667,1.1020729541778564
mnist,28,label_based,0.05,True,False,0.2576530612244898,0.5099009900990099,1.1509716510772705
